Date,Price,Open,High,Low,Volume,Change,coin_name_abbrv,coin_name,Volume_in_Million
2020-09-06,10296.4,10092.2,10337.7,10004.7,12.12M,2.02%,Bit,Bitcoin,12.12
2020-09-05,10092.2,10472.3,10558.7,9897.8,14.72M,-3.63%,Bit,Bitcoin,14.72
2020-09-04,10472.5,10168.7,10614.2,9960.3,12.50M,2.99%,Bit,Bitcoin,12.5
2020-09-03,10168.8,11413.2,11442.7,10009.5,9.65M,-10.90%,Bit,Bitcoin,9.65
2020-09-02,11413.3,11914.4,11947.5,11244.9,20.26M,-4.16%,Bit,Bitcoin,20.26
2020-09-01,11908.5,11644.2,12045.9,11544.6,579.65K,2.27%,Bit,Bitcoin,0.57965
2020-08-31,11644.2,11701.1,11760.2,11563.8,496.14K,-0.49%,Bit,Bitcoin,0.49613999999999997
2020-08-30,11702.0,11468.1,11704.2,11462.6,409.36K,2.04%,Bit,Bitcoin,0.40936
2020-08-29,11468.1,11527.8,11576.8,11433.5,389.85K,-0.51%,Bit,Bitcoin,0.38985000000000003
2020-08-28,11527.4,11327.5,11539.0,11281.9,464.94K,1.77%,Bit,Bitcoin,0.46494
2020-08-27,11327.4,11462.3,11580.3,11135.3,560.59K,-1.18%,Bit,Bitcoin,0.56059
2020-08-26,11462.3,11324.9,11533.6,11254.6,513.06K,1.21%,Bit,Bitcoin,0.51306
2020-08-25,11324.8,11752.9,11766.9,11131.0,594.07K,-3.65%,Bit,Bitcoin,0.5940700000000001
2020-08-24,11753.5,11641.6,11824.6,11587.1,429.13K,0.96%,Bit,Bitcoin,0.42913
2020-08-23,11641.6,11661.1,11705.4,11520.8,377.33K,-0.17%,Bit,Bitcoin,0.37733
2020-08-22,11661.3,11529.2,11677.0,11382.1,433.98K,1.15%,Bit,Bitcoin,0.43398000000000003
2020-08-21,11529.2,11856.9,11877.4,11495.6,506.38K,-2.76%,Bit,Bitcoin,0.5063799999999999
2020-08-20,11856.9,11751.0,11881.0,11672.7,430.93K,0.91%,Bit,Bitcoin,0.43093
2020-08-19,11750.2,11944.4,12013.2,11602.6,550.26K,-1.65%,Bit,Bitcoin,0.55026
2020-08-18,11947.6,12283.0,12381.4,11842.0,606.79K,-2.73%,Bit,Bitcoin,0.6067899999999999
2020-08-17,12282.6,11898.8,12444.1,11764.0,628.41K,3.22%,Bit,Bitcoin,0.6284099999999999
2020-08-16,11899.0,11845.5,11922.5,11688.9,410.81K,0.45%,Bit,Bitcoin,0.41081
2020-08-15,11845.3,11751.1,11964.0,11711.5,499.10K,0.80%,Bit,Bitcoin,0.49910000000000004
2020-08-14,11750.8,11771.1,11835.5,11651.5,435.44K,-0.17%,Bit,Bitcoin,0.43544
2020-08-13,11770.9,11557.2,11772.9,11298.4,545.67K,1.85%,Bit,Bitcoin,0.54567
2020-08-12,11557.2,11390.4,11605.4,11190.6,549.59K,1.46%,Bit,Bitcoin,0.54959
2020-08-11,11390.4,11889.2,11931.8,11146.7,615.90K,-4.19%,Bit,Bitcoin,0.6159
2020-08-10,11889.2,11681.1,12041.1,11546.9,564.11K,1.78%,Bit,Bitcoin,0.56411
2020-08-09,11681.2,11764.4,11792.8,11527.5,303.00K,-0.71%,Bit,Bitcoin,0.303
2020-08-08,11764.3,11591.6,11805.5,11533.5,317.06K,1.49%,Bit,Bitcoin,0.31706
2020-08-07,11592.0,11757.1,11901.8,11352.4,517.00K,-1.40%,Bit,Bitcoin,0.517
2020-08-06,11757.1,11735.0,11898.4,11563.0,554.85K,0.19%,Bit,Bitcoin,0.5548500000000001
2020-08-05,11735.1,11184.8,11771.5,11114.5,570.83K,4.92%,Bit,Bitcoin,0.5708300000000001
2020-08-04,11184.7,11223.8,11407.8,11043.0,485.79K,-0.35%,Bit,Bitcoin,0.48579
2020-08-03,11224.4,11066.9,11461.1,10981.6,470.24K,1.42%,Bit,Bitcoin,0.47024
2020-08-02,11066.8,11802.6,12061.1,10730.7,647.95K,-6.24%,Bit,Bitcoin,0.64795
2020-08-01,11803.1,11333.2,11847.7,11226.1,611.47K,4.14%,Bit,Bitcoin,0.6114700000000001
2020-07-31,11333.4,11096.5,11434.8,10964.6,530.95K,2.14%,Bit,Bitcoin,0.53095
2020-07-30,11096.2,11105.8,11164.4,10861.6,501.14K,-0.09%,Bit,Bitcoin,0.50114
