Date,Price,Open,High,Low,Vol.,Change %
"Feb 21, 2021",34.09,33.99,35.26,33.29,7.44M,0.28%
"Feb 20, 2021",34,34.69,36.92,32.33,15.17M,-1.99%
"Feb 19, 2021",34.69,32.52,35.38,31.45,10.80M,7.10%
"Feb 18, 2021",32.39,32.22,33.52,31.84,7.14M,0.59%
"Feb 17, 2021",32.2,32.02,32.65,30,8.08M,0.57%
"Feb 16, 2021",32.02,32.57,33.33,30.84,11.54M,-1.70%
"Feb 15, 2021",32.57,33.19,34.88,27.51,19.46M,-1.88%
"Feb 14, 2021",33.2,34.18,35.64,32.34,14.59M,-2.88%
"Feb 13, 2021",34.18,30.64,34.73,29.11,17.20M,11.55%
"Feb 12, 2021",30.64,27.84,31.42,26.73,14.29M,10.03%
"Feb 11, 2021",27.85,26.8,28.56,26.26,10.01M,3.77%
"Feb 10, 2021",26.84,27.61,28.62,25.25,17.19M,-2.86%
"Feb 09, 2021",27.63,25.44,27.99,25.01,13.65M,8.62%
"Feb 08, 2021",25.44,24.74,25.97,24.02,10.75M,2.82%
"Feb 07, 2021",24.74,25.01,25.27,22.95,10.32M,-1.09%
"Feb 06, 2021",25.01,26.32,26.77,24.29,11.07M,-4.98%
"Feb 05, 2021",26.32,24.5,26.97,24.44,15.37M,7.38%
"Feb 04, 2021",24.51,25.08,26.11,22.94,14.15M,-2.25%
"Feb 03, 2021",25.08,23.68,25.5,23.55,12.15M,5.89%
"Feb 02, 2021",23.68,22.89,24.15,22.75,9.60M,3.48%
"Feb 01, 2021",22.89,22.57,23.19,21.66,9.38M,1.37%
"Jan 31, 2021",22.58,23.64,24.64,22.09,10.74M,-4.44%
"Jan 30, 2021",23.63,22.74,23.97,22.21,10.51M,3.91%
"Jan 29, 2021",22.74,23.01,24.22,22.09,16.89M,-1.09%
"Jan 28, 2021",22.99,20.98,24.47,20.55,17.44M,9.58%
"Jan 27, 2021",20.98,23.11,23.2,20.3,15.36M,-9.23%
"Jan 26, 2021",23.11,23.36,23.96,21.67,13.28M,-1.16%
"Jan 25, 2021",23.38,24.76,25.77,22.62,18.19M,-5.55%
"Jan 24, 2021",24.76,24.79,24.95,23.28,18.26M,-0.15%
"Jan 23, 2021",24.79,21.63,25.48,21.15,28.43M,14.63%
"Jan 22, 2021",21.63,18.41,22.45,17.2,26.60M,17.33%
"Jan 21, 2021",18.43,21.87,22.01,18.1,20.91M,-15.71%
"Jan 20, 2021",21.87,20.55,21.95,19.13,19.13M,6.44%
"Jan 19, 2021",20.55,22.05,22.85,20.49,16.03M,-6.81%
"Jan 18, 2021",22.05,23.33,23.63,21.12,20.18M,-5.49%
"Jan 17, 2021",23.33,20.14,23.74,19.4,31.30M,15.81%
"Jan 16, 2021",20.14,20.8,22.84,19.67,40.78M,-3.14%
"Jan 15, 2021",20.8,17.97,21.37,17.57,57.62M,15.73%
"Jan 14, 2021",17.97,15.93,17.97,15.38,19.34M,12.77%
"Jan 13, 2021",15.93,13.97,16.22,13.41,16.28M,14.03%
"Jan 12, 2021",13.97,14.64,15.47,13.71,16.87M,-4.63%
"Jan 11, 2021",14.65,16.21,16.25,12.54,33.27M,-9.62%
"Jan 10, 2021",16.21,17.56,18.42,15.52,22.63M,-7.64%
"Jan 09, 2021",17.55,15.24,17.86,15.02,17.48M,15.18%
"Jan 08, 2021",15.24,15.99,16.18,14.22,21.67M,-4.70%
"Jan 07, 2021",15.99,17.25,17.38,15.14,24.81M,-7.30%
"Jan 06, 2021",17.25,14.51,17.27,14.15,29.92M,18.91%
"Jan 05, 2021",14.51,13.6,14.87,13.12,20.19M,6.55%
"Jan 04, 2021",13.62,13.7,15.58,12.41,32.77M,-0.62%
"Jan 03, 2021",13.7,12.21,13.99,11.84,21.83M,12.17%
"Jan 02, 2021",12.21,11.84,12.38,11.46,13.09M,3.13%
"Jan 01, 2021",11.84,11.23,12.42,11.07,11.93M,5.44%
"Dec 31, 2020",11.23,11.25,11.75,10.97,9.28M,-0.14%
"Dec 30, 2020",11.25,11.76,11.98,11.08,13.14M,-4.38%
"Dec 29, 2020",11.76,12.61,13.02,10.82,23.18M,-6.81%
"Dec 28, 2020",12.62,12.14,12.94,12.01,16.32M,3.96%
"Dec 27, 2020",12.14,10.97,13.2,10.51,28.71M,10.64%
"Dec 26, 2020",10.97,11.56,11.8,10.63,13.63M,-5.05%
"Dec 25, 2020",11.56,11.58,11.9,11.07,12.76M,-0.22%
"Dec 24, 2020",11.58,10.97,11.68,9.91,22.95M,5.48%
"Dec 23, 2020",10.98,12.79,12.86,8.21,23.28M,-14.15%
"Dec 22, 2020",12.79,12.3,12.83,11.84,9.36M,3.97%
"Dec 21, 2020",12.3,13.06,13.26,12.17,10.77M,-5.87%
"Dec 20, 2020",13.07,13.47,13.78,12.74,8.08M,-2.99%
"Dec 19, 2020",13.47,13.5,13.96,13.31,6.81M,-0.19%
"Dec 18, 2020",13.5,13.46,14,13.2,8.60M,0.19%
"Dec 17, 2020",13.47,13.49,14.5,13.17,18.56M,-0.11%
"Dec 16, 2020",13.49,12.68,13.49,12.33,10.43M,6.37%
"Dec 15, 2020",12.68,12.84,13.01,12.48,4.85M,-1.21%
"Dec 14, 2020",12.84,12.94,12.98,12.34,6.76M,-0.83%
"Dec 13, 2020",12.94,12.22,13.22,12.03,9.18M,5.93%
"Dec 12, 2020",12.22,11.64,12.34,11.62,6.53M,5.01%
"Dec 11, 2020",11.64,11.89,11.98,11.43,7.91M,-2.17%
"Dec 10, 2020",11.89,12.62,12.67,11.87,5.29M,-5.73%
"Dec 09, 2020",12.62,12.14,12.81,11.6,11.04M,3.96%
"Dec 08, 2020",12.14,13.07,13.19,12,7.89M,-7.13%
"Dec 07, 2020",13.07,13.5,13.55,12.89,4.64M,-3.20%
"Dec 06, 2020",13.5,13.17,13.52,12.78,5.64M,2.49%
"Dec 05, 2020",13.17,12.68,13.33,12.53,5.29M,3.88%
"Dec 04, 2020",12.68,13.97,14.03,12.52,8.97M,-9.24%
"Dec 03, 2020",13.97,13.98,14.2,13.65,6.56M,-0.16%
"Dec 02, 2020",13.99,13.34,14.13,13.1,9.15M,4.92%
"Dec 01, 2020",13.34,14.26,14.82,13.2,16.77M,-6.44%
"Nov 30, 2020",14.26,13.37,14.43,13.37,15.66M,6.64%
"Nov 29, 2020",13.37,13.09,13.47,12.86,9.09M,2.14%
"Nov 28, 2020",13.09,12.49,13.42,12.36,11.61M,4.80%
"Nov 27, 2020",12.49,12.58,12.94,11.97,13.79M,-0.71%
"Nov 26, 2020",12.58,14.23,14.46,11.32,39.12M,-11.67%
"Nov 25, 2020",14.24,15.65,15.83,13.82,14.38M,-9.00%
"Nov 24, 2020",15.65,15.27,16.36,15.07,24.19M,2.49%
"Nov 23, 2020",15.27,14.5,15.41,14.27,18.54M,5.25%
"Nov 22, 2020",14.5,15.45,15.69,13.89,20.92M,-6.14%
"Nov 21, 2020",15.45,14.1,15.47,13.72,21.09M,9.62%
"Nov 20, 2020",14.1,13.62,14.47,13.48,16.54M,3.50%
"Nov 19, 2020",13.62,13.56,13.99,13.03,14.71M,0.46%
"Nov 18, 2020",13.56,13.37,14.23,12.65,28.82M,1.40%
"Nov 17, 2020",13.37,12.62,13.4,12.56,17.11M,5.92%
"Nov 16, 2020",12.62,12.12,12.8,12.01,10.38M,4.06%
"Nov 15, 2020",12.13,12.54,12.64,11.83,8.80M,-3.32%
"Nov 14, 2020",12.54,12.87,12.92,12.35,8.63M,-2.54%
"Nov 13, 2020",12.87,12.41,13,12.32,13.02M,3.70%
"Nov 12, 2020",12.41,12.78,13.09,12.29,14.11M,-2.85%
"Nov 11, 2020",12.78,13.02,13.41,12.78,15.02M,-1.85%
"Nov 10, 2020",13.02,12.5,13.27,12.32,20.01M,4.19%
"Nov 09, 2020",12.49,12.72,13,12.07,19.77M,-1.77%
"Nov 08, 2020",12.72,11.76,13.08,11.5,19.51M,8.20%
"Nov 07, 2020",11.75,12.17,13.57,11.5,38.53M,-3.38%
"Nov 06, 2020",12.17,10.98,12.27,10.95,18.15M,10.78%
"Nov 05, 2020",10.98,10.46,11.23,10.09,17.25M,4.96%
"Nov 04, 2020",10.46,10.39,10.65,9.78,14.28M,0.75%
"Nov 03, 2020",10.39,10.79,10.79,10.09,15.66M,-3.75%
"Nov 02, 2020",10.79,11.55,11.67,10.72,16.66M,-6.58%
"Nov 01, 2020",11.55,11.23,11.58,11.03,16.91M,2.81%
"Oct 31, 2020",11.23,11.09,11.39,10.93,20.13M,1.32%
"Oct 30, 2020",11.09,11.28,11.48,10.78,23.11M,-1.72%
"Oct 29, 2020",11.28,11.45,11.79,11.11,18.42M,-1.50%
"Oct 28, 2020",11.45,11.94,12.15,11.16,12.86M,-4.04%
"Oct 27, 2020",11.94,11.72,12.45,11.5,12.03M,1.80%
"Oct 26, 2020",11.73,12.15,12.44,11.3,14.13M,-3.47%
"Oct 25, 2020",12.15,12.7,12.84,11.94,11.56M,-4.35%
"Oct 24, 2020",12.7,12.16,12.94,12,13.03M,4.46%
"Oct 23, 2020",12.16,11.96,12.26,11.6,14.96M,1.68%
"Oct 22, 2020",11.96,10.81,12.39,10.72,19.17M,10.59%
"Oct 21, 2020",10.81,9.86,11.11,9.8,15.87M,9.70%
"Oct 20, 2020",9.86,10.91,10.93,9.78,13.09M,-9.69%
"Oct 19, 2020",10.91,10.95,11.2,10.66,8.54M,-0.31%
"Oct 18, 2020",10.95,10.63,10.98,10.6,6.84M,3.04%
"Oct 17, 2020",10.62,10.59,10.7,10.43,6.66M,0.36%
"Oct 16, 2020",10.59,10.75,10.88,10.29,12.29M,-1.50%
"Oct 15, 2020",10.75,10.89,10.9,10.48,12.71M,-1.34%
"Oct 14, 2020",10.89,11,11.32,10.63,14.72M,-0.95%
"Oct 13, 2020",11,11.42,11.55,10.66,16.59M,-3.75%
"Oct 12, 2020",11.42,10.85,11.79,10.7,21.41M,5.31%
"Oct 11, 2020",10.85,10.52,11,10.17,13.30M,3.13%
"Oct 10, 2020",10.52,10.39,10.88,10.39,14.78M,1.15%
"Oct 09, 2020",10.4,9.55,10.51,9.38,19.49M,8.97%
"Oct 08, 2020",9.54,8.98,9.67,8.45,17.85M,6.22%
"Oct 07, 2020",8.98,8.77,9,8.39,12.66M,2.44%
"Oct 06, 2020",8.77,9.62,9.65,8.64,12.22M,-8.80%
"Oct 05, 2020",9.62,9.39,9.7,9.27,12.33M,2.33%
"Oct 04, 2020",9.4,9.27,9.46,9.13,7.28M,1.36%
"Oct 03, 2020",9.27,9.22,9.54,9.11,7.58M,0.58%
"Oct 02, 2020",9.22,9.65,9.82,8.83,19.52M,-4.51%
"Oct 01, 2020",9.65,9.87,10.39,9.39,15.36M,-2.23%
"Sep 30, 2020",9.87,10.14,10.19,9.6,14.14M,-2.60%
"Sep 29, 2020",10.14,10.28,10.38,9.47,22.83M,-1.44%
"Sep 28, 2020",10.28,10.79,11.06,10.2,16.95M,-4.73%
"Sep 27, 2020",10.79,10.3,10.98,9.95,16.61M,4.78%
"Sep 26, 2020",10.3,10.71,11.07,10,19.71M,-3.80%
"Sep 25, 2020",10.71,9.87,11.19,9.39,32.34M,8.52%
"Sep 24, 2020",9.87,7.61,10.42,7.49,41.86M,29.61%
"Sep 23, 2020",7.61,8.74,8.8,7.36,27.15M,-12.89%
"Sep 22, 2020",8.74,8.72,9.07,8.6,14.76M,0.37%
"Sep 21, 2020",8.71,9.74,9.91,8.52,25.86M,-10.58%
"Sep 20, 2020",9.74,10.12,10.61,9.54,11.55M,-3.81%
"Sep 19, 2020",10.12,10.09,10.49,9.88,10.17M,0.27%
"Sep 18, 2020",10.1,11,11.12,9.81,16.22M,-8.14%
"Sep 17, 2020",10.99,10.73,11.64,10.5,17.60M,2.46%
"Sep 16, 2020",10.73,10.95,11.28,10.5,17.25M,-2.03%
"Sep 15, 2020",10.95,12.13,12.23,10.78,18.61M,-9.76%
"Sep 14, 2020",12.13,12.06,12.36,11.64,15.72M,0.66%
"Sep 13, 2020",12.06,12.72,13.22,11.79,18.07M,-5.20%
"Sep 12, 2020",12.72,12.44,12.73,12.11,11.06M,2.21%
"Sep 11, 2020",12.44,12.52,12.68,12.03,13.03M,-0.65%
"Sep 10, 2020",12.52,12.34,13.26,12.25,23.18M,1.47%
"Sep 09, 2020",12.34,11.71,12.65,11.45,18.03M,5.41%
"Sep 08, 2020",11.71,12.47,12.73,11.12,257.72K,-6.10%
"Sep 07, 2020",12.47,12.81,13.16,11.22,31.03M,-2.71%
"Sep 06, 2020",12.81,10.6,13.18,9.76,33.02M,20.95%
"Sep 05, 2020",10.6,12.38,12.73,9.19,37.27M,-14.45%
"Sep 04, 2020",12.38,11.88,12.88,11.01,29.50M,4.21%
"Sep 03, 2020",11.88,14.8,15,11.2,26.67M,-19.69%
"Sep 02, 2020",14.8,16.07,16.35,14.09,17.24M,-7.85%
"Sep 01, 2020",16.06,15.59,16.49,15.16,16.56M,2.99%
"Aug 31, 2020",15.59,16.47,16.94,15.53,16.01M,-5.34%
"Aug 30, 2020",16.47,16.42,17.75,16.4,19.91M,0.30%
"Aug 29, 2020",16.42,15.14,16.97,14.97,20.08M,8.44%
"Aug 28, 2020",15.14,14.52,15.48,14.26,11.92M,4.31%
"Aug 27, 2020",14.52,15.19,15.5,14.02,17.56M,-4.42%
"Aug 26, 2020",15.19,14.12,15.64,14.09,18.03M,7.59%
"Aug 25, 2020",14.12,15.14,15.35,13.51,19.89M,-6.73%
"Aug 24, 2020",15.14,15.15,15.87,14.73,14.00M,-0.13%
"Aug 23, 2020",15.15,15.87,15.98,14.68,17.00M,-4.52%
"Aug 22, 2020",15.87,13.81,16.3,13.69,26.86M,14.93%
"Aug 21, 2020",13.81,16.05,16.12,12.92,40.61M,-13.93%
"Aug 20, 2020",16.05,16.18,16.77,15.78,16.66M,-0.86%
"Aug 19, 2020",16.18,16.2,17.23,14.91,29.68M,-0.12%
"Aug 18, 2020",16.2,16.68,17.64,14.86,42.86M,-2.84%
"Aug 17, 2020",16.68,18.81,19.67,16.15,20.61M,-11.33%
"Aug 16, 2020",18.81,19.17,20.01,18.58,16.70M,-1.89%
"Aug 15, 2020",19.17,16.94,19.79,16.56,28.43M,13.16%
"Aug 14, 2020",16.94,17.17,17.57,16.36,17.61M,-1.31%
"Aug 13, 2020",17.17,16.51,18.29,16.02,46.71M,4.00%
"Aug 12, 2020",16.51,12.98,16.72,12.61,35.47M,27.15%
"Aug 11, 2020",12.98,13.47,13.51,12.18,24.89M,-3.60%
"Aug 10, 2020",13.47,13.82,14.03,12.66,25.29M,-2.56%
"Aug 09, 2020",13.82,12.72,14.41,12.02,38.92M,8.63%
"Aug 08, 2020",12.72,10.13,13.78,9.94,38.35M,25.63%
"Aug 07, 2020",10.13,10.2,10.25,9.26,15.76M,-0.71%
"Aug 06, 2020",10.2,9.53,10.24,9.46,12.93M,7.06%
"Aug 05, 2020",9.53,9.86,9.86,9.36,13.09M,-3.39%
"Aug 04, 2020",9.86,9.18,9.96,9.09,24.64M,7.44%
"Aug 03, 2020",9.18,8.28,9.27,8.18,17.06M,10.84%
"Aug 02, 2020",8.28,8.32,8.78,6.96,30.73M,-0.52%
"Aug 01, 2020",8.32,7.8,8.46,7.65,12.53M,6.72%
"Jul 31, 2020",7.8,7.41,7.85,7.41,10.58M,5.29%
"Jul 30, 2020",7.41,7.07,7.57,7.03,10.42M,4.71%
"Jul 29, 2020",7.07,7.08,7.08,7.07,9.55M,-2.15%
"Jul 28, 2020",7.23,7.09,7.39,6.92,11.93M,1.93%
"Jul 27, 2020",7.09,7.49,7.5,6.54,23.53M,-5.31%
"Jul 26, 2020",7.49,7.67,7.94,7.24,14.61M,-2.36%
"Jul 25, 2020",7.67,7.44,7.79,7.39,9.97M,3.17%
"Jul 24, 2020",7.44,7.9,7.93,7.4,10.18M,-5.83%
"Jul 23, 2020",7.9,7.47,8.07,7.42,14.93M,5.71%
"Jul 22, 2020",7.47,7.31,7.62,7.09,13.32M,2.24%
"Jul 21, 2020",7.31,7.25,7.67,6.99,15.17M,0.83%
"Jul 20, 2020",7.25,8.08,8.13,7.18,14.80M,-10.38%
"Jul 19, 2020",8.09,7.97,8.2,7.79,9.10M,1.48%
"Jul 18, 2020",7.97,8.26,8.26,7.77,15.70M,-3.56%
"Jul 17, 2020",8.26,8.36,8.61,8.21,12.52M,-1.20%
"Jul 16, 2020",8.36,8.64,8.83,7.98,27.92M,-3.27%
"Jul 15, 2020",8.64,8.13,8.83,7.85,27.34M,6.34%
"Jul 14, 2020",8.13,7.17,8.31,7,32.94M,13.31%
"Jul 13, 2020",7.17,7.35,8.42,6.89,41.82M,-2.38%
"Jul 12, 2020",7.35,6.1,7.37,6.1,25.22M,20.41%
"Jul 11, 2020",6.1,6.14,6.27,5.98,7.54M,-0.61%
"Jul 10, 2020",6.14,6.08,6.2,5.72,14.18M,0.92%
"Jul 09, 2020",6.08,6.5,6.5,5.73,18.29M,-6.33%
"Jul 08, 2020",6.5,5.72,6.53,5.61,23.55M,13.58%
"Jul 07, 2020",5.72,5.36,5.88,5.34,19.02M,6.71%
"Jul 06, 2020",5.36,4.75,5.48,4.74,15.50M,12.71%
"Jul 05, 2020",4.75,4.82,4.83,4.62,4.85M,-1.34%
"Jul 04, 2020",4.82,4.73,4.85,4.72,3.94M,1.79%
"Jul 03, 2020",4.73,4.8,4.89,4.71,6.14M,-1.27%
"Jul 02, 2020",4.8,4.71,4.92,4.61,10.24M,1.89%
"Jul 01, 2020",4.71,4.56,4.73,4.53,5.20M,3.11%
"Jun 30, 2020",4.56,4.62,4.66,4.54,3.99M,-1.13%
"Jun 29, 2020",4.62,4.58,4.65,4.43,6.20M,0.90%
"Jun 28, 2020",4.58,4.41,4.62,4.37,6.56M,3.64%
"Jun 27, 2020",4.41,4.68,4.69,4.31,8.23M,-5.76%
"Jun 26, 2020",4.68,4.81,4.86,4.65,7.30M,-2.62%
"Jun 25, 2020",4.81,4.71,4.84,4.52,9.64M,2.23%
"Jun 24, 2020",4.71,4.8,4.94,4.51,13.64M,-1.89%
"Jun 23, 2020",4.8,4.49,4.94,4.43,13.99M,6.94%
"Jun 22, 2020",4.49,4.18,4.49,4.18,6.20M,7.21%
"Jun 21, 2020",4.18,4.18,4.2,4.14,1.88M,0.00%
"Jun 20, 2020",4.18,4.1,4.21,4.07,3.40M,1.92%
"Jun 19, 2020",4.1,4.14,4.18,4.06,3.47M,-1.02%
"Jun 18, 2020",4.14,4.16,4.25,4.1,4.43M,-0.49%
"Jun 17, 2020",4.16,4.05,4.19,3.97,5.65M,2.90%
"Jun 16, 2020",4.05,3.93,4.09,3.9,4.93M,3.07%
"Jun 15, 2020",3.93,3.94,3.99,3.66,9.55M,-0.40%
"Jun 14, 2020",3.94,4.11,4.11,3.92,2.24M,-3.99%
"Jun 13, 2020",4.11,4.08,4.12,4.01,2.13M,0.75%
"Jun 12, 2020",4.08,3.97,4.18,3.86,6.26M,2.70%
"Jun 11, 2020",3.97,4.42,4.45,3.92,8.45M,-10.27%
"Jun 10, 2020",4.42,4.43,4.44,4.35,2.94M,-0.25%
"Jun 09, 2020",4.43,4.47,4.5,4.37,3.10M,-0.78%
"Jun 08, 2020",4.47,4.35,4.47,4.33,2.59M,2.85%
"Jun 07, 2020",4.35,4.35,4.41,4.22,2.83M,0.00%
"Jun 06, 2020",4.35,4.36,4.4,4.31,1.80M,-0.33%
"Jun 05, 2020",4.36,4.43,4.48,4.34,2.98M,-1.39%
"Jun 04, 2020",4.43,4.48,4.51,4.29,4.34M,-1.31%
"Jun 03, 2020",4.48,4.4,4.53,4.3,5.62M,1.95%
"Jun 02, 2020",4.4,4.38,4.62,4.14,10.90M,0.50%
"Jun 01, 2020",4.38,4.13,4.48,4.12,11.90M,5.90%
"May 31, 2020",4.13,4.17,4.28,4.04,7.94M,-0.88%
"May 30, 2020",4.17,3.98,4.18,3.94,6.08M,4.67%
"May 29, 2020",3.98,4.04,4.12,3.96,6.45M,-1.35%
"May 28, 2020",4.04,3.85,4.06,3.83,4.98M,5.00%
"May 27, 2020",3.85,3.84,3.91,3.81,4.45M,0.00%
"May 26, 2020",3.84,3.86,3.88,3.78,4.47M,-0.32%
"May 25, 2020",3.86,3.79,3.9,3.78,5.30M,1.65%
"May 24, 2020",3.79,3.93,4.03,3.79,7.31M,-3.56%
"May 23, 2020",3.93,4.06,4.1,3.92,7.06M,-3.21%
"May 22, 2020",4.06,3.83,4.14,3.8,8.71M,6.28%
"May 21, 2020",3.82,4.09,4.17,3.75,12.58M,-6.42%
"May 20, 2020",4.09,3.95,4.14,3.9,11.60M,3.58%
"May 19, 2020",3.95,3.89,3.95,3.78,4.45M,1.54%
"May 18, 2020",3.89,3.78,3.95,3.78,6.92M,2.92%
"May 17, 2020",3.78,3.76,3.85,3.75,4.41M,0.44%
"May 16, 2020",3.76,3.66,3.79,3.62,4.83M,2.81%
"May 15, 2020",3.66,3.81,3.83,3.63,6.30M,-4.14%
"May 14, 2020",3.81,3.76,3.85,3.7,8.43M,1.32%
"May 13, 2020",3.76,3.69,3.81,3.64,7.02M,1.90%
"May 12, 2020",3.69,3.58,3.79,3.55,8.99M,2.77%
"May 11, 2020",3.59,3.76,3.83,3.32,15.49M,-4.42%
"May 10, 2020",3.76,4.02,4.02,3.57,23.87M,-6.34%
"May 09, 2020",4.02,3.8,4.21,3.77,18.41M,5.69%
"May 08, 2020",3.8,3.76,3.86,3.69,8.52M,1.15%
"May 07, 2020",3.76,3.59,3.85,3.57,9.85M,4.74%
"May 06, 2020",3.59,3.68,3.76,3.58,6.20M,-2.54%
"May 05, 2020",3.68,3.75,3.81,3.66,5.63M,-1.83%
"May 04, 2020",3.75,3.71,3.83,3.51,12.71M,1.13%
"May 03, 2020",3.71,3.82,3.86,3.65,6.62M,-2.88%
"May 02, 2020",3.82,3.76,3.86,3.73,5.15M,1.60%
"May 01, 2020",3.76,3.7,3.91,3.7,9.48M,1.40%
"Apr 30, 2020",3.7,3.88,3.97,3.63,15.98M,-4.63%
"Apr 29, 2020",3.88,3.65,3.99,3.63,17.91M,6.36%
"Apr 28, 2020",3.65,3.64,3.73,3.56,9.22M,0.43%
"Apr 27, 2020",3.64,3.72,3.74,3.47,14.22M,-2.16%
"Apr 26, 2020",3.72,3.79,3.81,3.67,10.48M,-1.85%
"Apr 25, 2020",3.79,3.77,3.89,3.74,7.97M,0.30%
"Apr 24, 2020",3.77,3.75,3.89,3.74,9.86M,0.70%
"Apr 23, 2020",3.75,3.68,3.88,3.6,17.35M,1.95%
"Apr 22, 2020",3.68,3.46,3.69,3.44,14.47M,6.42%
"Apr 21, 2020",3.46,3.43,3.57,3.4,16.92M,0.74%
"Apr 20, 2020",3.43,3.6,3.78,3.38,25.12M,-4.86%
"Apr 19, 2020",3.6,3.78,3.8,3.53,19.64M,-4.72%
"Apr 18, 2020",3.78,3.45,3.82,3.45,19.54M,9.61%
"Apr 17, 2020",3.45,3.48,3.52,3.39,15.71M,-0.71%
